t_f,rho_f
-14.8000266424845,-0.940037033618913
-15.9987502473203,-1.02074818616494
-17.3896403117029,-1.10375173869745
-16.9481812282329,-1.08259086305542
-14.2303248088829,-0.902314132735584
-14.1201420689284,-0.895424581950978
-16.3763450633495,-1.0446431166786
-14.7749514445387,-0.941806208989657
-16.2739808834935,-1.03690366995545
-14.5502277389345,-0.925317508514824
-16.1172008055493,-1.02969256488514
-17.2137513900054,-1.09224271510998
-16.0596623797714,-1.02310374528551
-14.4894469138832,-0.922182108855072
-15.3957640202245,-0.981432601929702
-16.5199881672489,-1.05197319807793
-16.2225893653938,-1.03204903734578
-16.2796294142105,-1.03916375263705
-15.3559115102968,-0.97506337305237
-15.4398676536726,-0.986908448456638
-16.8757374367542,-1.0732116953423
-15.8857314386807,-1.01605261794993
-16.8202421279414,-1.07053295419101
-15.4864479323651,-0.991060321350488
-15.3665218829695,-0.979707644633424
-14.7705064386109,-0.939955056826076
-15.7083737004114,-1.00168607832995
-15.5443124068239,-0.990698150844696
-15.5122271847159,-0.989047377292644
-15.6746601275743,-0.990553762036497
-15.7252562213604,-1.00545541098037
-14.4090382569164,-0.916325177017733
-15.6670532166252,-0.996325338572449
-15.3390908781948,-0.976412847950738
-17.0834451524485,-1.08493630346769
-15.8097198325974,-1.0078592514738
-16.1620793287697,-1.04526624138748
-18.0919384468748,-1.14184559330995
-15.787125590107,-1.01063796232038
-13.9336990613782,-0.884944665898919
-17.2312807112944,-1.09114755057498
-16.4433570893279,-1.05441921217271
-17.1071067418074,-1.08749472588258
-15.5426846572789,-0.989486879507402
-16.4346095334005,-1.04316832149641
-16.4075333654053,-1.04996773670502
-14.8073011246123,-0.942486277572745
-16.33478882406,-1.03839668509545
-15.1184914219021,-0.967713384641233
-16.0401422514976,-1.01817772996599
-15.2344928613282,-0.970878478740164
-15.5277840114799,-0.993414777229266
-15.1447789709301,-0.968778747454241
-13.6659801602537,-0.862005161213216
-14.7158119239271,-0.932173358281983
-17.2951577986614,-1.10034035875748
-17.3256120374364,-1.09880764288252
-15.7996225312864,-1.00604775325696
-16.079357388718,-1.02441872996038
-14.856377133323,-0.945621936049905
-15.1294355883294,-0.957429214924647
-15.8906693668697,-1.01260406505589
-18.4242767500929,-1.1597946656608
-15.8086912820582,-1.00819019503783
-17.7695537102006,-1.12524331773715
-16.2199603616479,-1.0383898607693
-15.334341761579,-0.976200297163197
-14.967697552691,-0.95787899117762
-16.1914912157122,-1.04304066461271
-15.7511123468815,-1.0093269413608
-15.0000812034339,-0.959234172095944
-16.1776314610067,-1.03108329679283
-15.7387514119428,-1.0001347509932
-16.0714855590464,-1.02536236133223
-15.6862013689513,-0.998495519782688
-16.3137330652297,-1.03737557145315
